РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Москва,Москва,,Судебный участок № 1 района Матушкино,MS,Мировой суд,"124681, г Москва, г Зеленоград, к 200Г",https://mos-sud.ru/,mos-sud.ru,нет,77MS0001
Москва,Москва,,Судебный участок № 10 района Котловка,MS,Мировой суд,"117186, г Москва, ул Нагорная, д 26 к 1",https://mos-sud.ru/,mos-sud.ru,нет,77MS0010
Москва,Москва,,Судебный участок № 100 района Якиманка,MS,Мировой суд,"119180, г Москва, пер 1-й Хвостов, д 11 стр 2",https://mos-sud.ru/,mos-sud.ru,нет,77MS0100
Москва,Москва,,Судебный участок № 101 района Замоскворечье,MS,Мировой суд,"119180, г Москва, пер 1-й Хвостов, д 11 стр 2",https://mos-sud.ru/,mos-sud.ru,нет,77MS0101
Москва,Москва,,Судебный участок № 102 района Замоскворечье,MS,Мировой суд,"115184, г Москва, ул Пятницкая, д 53/18 стр 1",https://mos-sud.ru/,mos-sud.ru,нет,77MS0102
Москва,Москва,,Судебный участок № 103 района Южное Бутово,MS,Мировой суд,"117623, г Москва, ул Старонародная, д 2",https://mos-sud.ru/,mos-sud.ru,нет,77MS0103
Москва,Москва,,Судебный участок № 104 района Сокольники,MS,Мировой суд,"107113, г Москва, ул 3-я Рыбинская, д 30",https://mos-sud.ru/,mos-sud.ru,нет,77MS0104
Москва,Москва,,Судебный участок № 105 района Сокольники,MS,Мировой суд,"107113, г Москва, ул 3-я Рыбинская, д 30",https://mos-sud.ru/,mos-sud.ru,нет,77MS0105
Москва,Москва,,Судебный участок № 106 района Бирюлёво Восточное,MS,Мировой суд,"115201, г Москва, проезд Каширский, д 3",https://mos-sud.ru/,mos-sud.ru,нет,77MS0106
Москва,Москва,,Судебный участок № 107 района Зябликово,MS,Мировой суд,"115582, г Москва, ул Домодедовская, д 24 к 5",https://mos-sud.ru/,mos-sud.ru,нет,77MS0107
Москва,Москва,,Судебный участок № 108 района Богородское,MS,Мировой суд,"107258, г Москва, ул Игральная, д 5",https://mos-sud.ru/,mos-sud.ru,нет,77MS0108
Москва,Москва,,Судебный участок № 109 района Богородское,MS,Мировой суд,"107150, г Москва, проезд 3-й Подбельского, д 22 к 3",https://mos-sud.ru/,mos-sud.ru,нет,77MS0109
Москва,Москва,,Судебный участок № 11 района Котловка,MS,Мировой суд,"117186, г Москва, ул Нагорная, д 26 к 1",https://mos-sud.ru/,mos-sud.ru,нет,77MS0011
Москва,Москва,,Судебный участок № 110 района Богородское,MS,Мировой суд,"107370, г Москва, ш Открытое, д 6 к 13",https://mos-sud.ru/,mos-sud.ru,нет,77MS0110
