РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Московская область,Балашиха,,Балашихинский городской суд Московской области,RS,"Районный, городской, межрайонный суд","143907, Московская обл, г Балашиха, ш Энтузиастов, д 39А",https://balashihinsky--mo.sudrf.ru/,balashihinsky--mo.sudrf.ru,да,50RS0001
Московская область,Балашиха,,Железнодорожный городской суд Московской области,RS,"Районный, городской, межрайонный суд","143980, Московская обл, г Балашиха, мкр Железнодорожный, ул Октябрьская, д 31",https://zheleznodorojniy--mo.sudrf.ru/,zheleznodorojniy--mo.sudrf.ru,да,50RS0010
Московская область,Видное,,Видновский городской суд Московской области,RS,"Районный, городской, межрайонный суд","142700, Московская обл, г Видное, ул Центральная, д 2",https://vidnoe--mo.sudrf.ru/,vidnoe--mo.sudrf.ru,да,50RS0002
Московская область,Волоколамск,,Волоколамский городской суд Московской области,RS,"Районный, городской, межрайонный суд","143600, Московская обл, г Волоколамск, ул Пролетарская, д 10А",https://volokolamsk--mo.sudrf.ru/,volokolamsk--mo.sudrf.ru,да,50RS0004
Московская область,Воскресенск,,Воскресенский городской суд Московской области,RS,"Районный, городской, межрайонный суд","140200, Московская обл, г Воскресенск, ул Советская, д 3А",https://voskresensk--mo.sudrf.ru/,voskresensk--mo.sudrf.ru,да,50RS0003
Московская область,Дмитров,,Дмитровский городской суд Московской области,RS,"Районный, городской, межрайонный суд","141800, Московская обл, г Дмитров, ул Загорская, д 18",https://dmitrov--mo.sudrf.ru/,dmitrov--mo.sudrf.ru,да,50RS0005
Московская область,Долгопрудный,,Долгопрудненский городской суд Московской области,RS,"Районный, городской, межрайонный суд","141701, Московская обл, г Долгопрудный, ул Первомайская, д 13/3",https://dolgoprudniy--mo.sudrf.ru/,dolgoprudniy--mo.sudrf.ru,да,50RS0006
Московская область,Домодедово,,Домодедовский городской суд Московской области,RS,"Районный, городской, межрайонный суд","142000, Московская обл., г. Домодедово, ул. Советская, д. 26",https://domodedovo--mo.sudrf.ru/,domodedovo--mo.sudrf.ru,да,50RS0007
Московская область,Дубна,,Дубненский городской суд Московской области,RS,"Районный, городской, межрайонный суд","141980, Московская обл, г Дубна, ул Курчатова И.В., д 28",https://dubna--mo.sudrf.ru/,dubna--mo.sudrf.ru,да,50RS0008
Московская область,Егорьевск,,Егорьевский городской суд Московской области,RS,"Районный, городской, межрайонный суд","140301, Московская обл, г Егорьевск, пр-кт Ленина, д 12",https://egorievsk--mo.sudrf.ru/,egorievsk--mo.sudrf.ru,да,50RS0009
