РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Свердловская область,Алапаевск,,Алапаевский городской суд Свердловской области,RS,"Районный, городской, межрайонный суд","624600, Свердловская обл, г Алапаевск, ул Братьев Серебряковых, д 16",https://alapaevsky--svd.sudrf.ru/,alapaevsky--svd.sudrf.ru,да,66RS0014
Свердловская область,Артемовский,,Артемовский городской суд Свердловской области,RS,"Районный, городской, межрайонный суд","623780, Свердловская обл, г Артемовский, ул Гагарина, д 21",https://artemovsky--svd.sudrf.ru/,artemovsky--svd.sudrf.ru,да,66RS0016
Свердловская область,Арти,Артинский,Артинский районный суд Свердловской области,RS,"Районный, городской, межрайонный суд","623340, Свердловская обл, пгт Арти, ул Ленина, стр 98",https://artinsky--svd.sudrf.ru/,artinsky--svd.sudrf.ru,да,66RS0017
Свердловская область,Асбест,,Асбестовский городской суд Свердловской области,RS,"Районный, городской, межрайонный суд","624272, Свердловская обл, г Асбест, ул имени Александра Королева, стр 24",https://asbestovsky--svd.sudrf.ru/,asbestovsky--svd.sudrf.ru,да,66RS0015
Свердловская область,Белоярский,Белоярский,Белоярский районный суд Свердловской области,RS,"Районный, городской, межрайонный суд","624030, Свердловская обл, пгт Белоярский, ул Милицейская, д 14",https://beloyarsky--svd.sudrf.ru/,beloyarsky--svd.sudrf.ru,да,66RS0020
Свердловская область,Березовский,,Березовский городской суд Свердловской области,RS,"Районный, городской, межрайонный суд","623700, Свердловская обл, г Березовский, ул Загвозкина, стр 8",https://berezovsky--svd.sudrf.ru/,berezovsky--svd.sudrf.ru,да,66RS0022
Свердловская область,Богданович,,Богдановичский городской суд Свердловской области,RS,"Районный, городской, межрайонный суд","623530, Свердловская обл, Богдановичский р-н, г Богданович, ул Партизанская, д 15А",https://bogdanovichsky--svd.sudrf.ru/,bogdanovichsky--svd.sudrf.ru,да,66RS0021
Свердловская область,Верхняя Пышма,,Верхнепышминский городской суд Свердловской области,RS,"Районный, городской, межрайонный суд","624096, Свердловская обл, г Верхняя Пышма, пр-кт Успенский, д 50",https://verhnepyshminsky--svd.sudrf.ru/,verhnepyshminsky--svd.sudrf.ru,да,66RS0024
Свердловская область,Верхняя Салда,Верхнесалдинский,Верхнесалдинский районный суд Свердловской области,RS,"Районный, городской, межрайонный суд","624761, Свердловская обл, Верхнесалдинский р-н, г Верхняя Салда, ул Спортивная, д 2 к 4",https://verhnesaldinsky--svd.sudrf.ru/,verhnesaldinsky--svd.sudrf.ru,да,66RS0025
Свердловская область,Верхотурье,Верхотурский,Верхотурский районный суд Свердловской области,RS,"Районный, городской, межрайонный суд","624380, Свердловская обл, г Верхотурье, ул Карла Маркса, д 1",https://verhotursky--svd.sudrf.ru/,verhotursky--svd.sudrf.ru,да,66RS0023
Свердловская область,Екатеринбург,Академический,Академический районный суд города Екатеринбурга Свердловской области,RS,"Районный, городской, межрайонный суд","620105, г Екатеринбург, ул Вильгельма де Геннина, д 46/1",https://akademicheskiy--svd.sudrf.ru/,akademicheskiy--svd.sudrf.ru,да,66RS0062
Свердловская область,Екатеринбург,Верх-Исетский,Верх-Исетский районный суд г. Екатеринбурга Свердловской области,RS,"Районный, городской, межрайонный суд","620014, г Екатеринбург, ул Малышева, д 2Б",https://verhisetsky--svd.sudrf.ru/,verhisetsky--svd.sudrf.ru,да,66RS0001
Свердловская область,Екатеринбург,Железнодорожный,Железнодорожный районный суд г. Екатеринбурга Свердловской области,RS,"Районный, городской, межрайонный суд","620141, г Екатеринбург, ул Пехотинцев, д 23",https://zheleznodorozhny--svd.sudrf.ru/,zheleznodorozhny--svd.sudrf.ru,да,66RS0002
Свердловская область,Екатеринбург,Кировский,Кировский районный суд г. Екатеринбурга Свердловской области,RS,"Районный, городской, межрайонный суд","620075, г Екатеринбург, ул Бажова, д 31А",https://kirovsky--svd.sudrf.ru/,kirovsky--svd.sudrf.ru,да,66RS0003
Свердловская область,Екатеринбург,Ленинский,Ленинский районный суд г. Екатеринбурга Свердловской области,RS,"Районный, городской, межрайонный суд","620142, г Екатеринбург, ул Щорса, стр 68",https://leninskyeka--svd.sudrf.ru/,leninskyeka--svd.sudrf.ru,да,66RS0004
Свердловская область,Екатеринбург,Октябрьский,Октябрьский районный суд г. Екатеринбурга Свердловской области,RS,"Районный, городской, межрайонный суд","620026, г Екатеринбург, ул Народной воли, стр 81",https://oktiabrsky--svd.sudrf.ru/,oktiabrsky--svd.sudrf.ru,да,66RS0005
Свердловская область,Екатеринбург,Орджоникидзевский,Орджоникидзевский районный суд г. Екатеринбурга Свердловской области,RS,"Районный, городской, межрайонный суд","620012, г Екатеринбург, пл 1-й Пятилетки, стр 64",https://ordzhonikidzevsky--svd.sudrf.ru/,ordzhonikidzevsky--svd.sudrf.ru,да,66RS0006
Свердловская область,Екатеринбург,,Свердловский областной суд,OS,Областной и равный ему суд,"620019, г Екатеринбург, ул Московская, стр 120",https://oblsud--svd.sudrf.ru/,oblsud--svd.sudrf.ru,да,66OS0000
Свердловская область,Екатеринбург,Чкаловский,Чкаловский районный суд г. Екатеринбурга Свердловской области,RS,"Районный, городской, межрайонный суд","620130, г Екатеринбург, ул Авиационная, стр 65А",https://chkalovsky--svd.sudrf.ru/,chkalovsky--svd.sudrf.ru,да,66RS0007
