РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Республика Татарстан,,Высокогорский,Высокогорский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422700, Респ Татарстан, п ж/д станции Высокая Гора, ул Советская, д 11",https://vysogorsky--tat.sudrf.ru/,vysogorsky--tat.sudrf.ru,да,16RS0013
Республика Татарстан,Агрыз,Агрызский,Агрызский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422233, Респ Татарстан, г Агрыз, ул Казанская, д 67",https://agryzsky--tat.sudrf.ru/,agryzsky--tat.sudrf.ru,да,16RS0001
Республика Татарстан,Азнакаево,,Азнакаевский городской суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","423330, Респ Татарстан, г Азнакаево, ул Булгар, д 15",https://aznakaevsky--tat.sudrf.ru/,aznakaevsky--tat.sudrf.ru,да,16RS0035
Республика Татарстан,Аксубаево,Аксубаевский,Аксубаевский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","423060, Респ Татарстан, пгт Аксубаево, ул Ленина, зд 10",https://aksubaevsky--tat.sudrf.ru/,aksubaevsky--tat.sudrf.ru,да,16RS0002
Республика Татарстан,Актаныш,Актанышский,Актанышский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","423740, Респ Татарстан, с Актаныш, пр-кт Ленина, д 13",https://aktanyshsky--tat.sudrf.ru/,aktanyshsky--tat.sudrf.ru,да,16RS0003
Республика Татарстан,Алексеевское,Алексеевский,Алексеевский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422900, Респ Татарстан, пгт Алексеевское, пл Советская, зд 11Б",https://alekseevsky--tat.sudrf.ru/,alekseevsky--tat.sudrf.ru,да,16RS0004
Республика Татарстан,Альметьевск,,Альметьевский городской суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","423455, Респ Татарстан, г Альметьевск, ул Ленина, д 121",https://almetevsky--tat.sudrf.ru/,almetevsky--tat.sudrf.ru,да,16RS0036
Республика Татарстан,Апастово,Апастовский,Апастовский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422350, Респ Татарстан, пгт Апастово, ул Шоссейная, зд 7",https://apastovsky--tat.sudrf.ru/,apastovsky--tat.sudrf.ru,да,16RS0006
Республика Татарстан,Арск,Арский,Арский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422000, Респ Татарстан, г Арск, пл Советская, д 9",https://arsky--tat.sudrf.ru/,arsky--tat.sudrf.ru,да,16RS0007
Республика Татарстан,Бавлы,,Бавлинский городской суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","423930, Респ Татарстан, г Бавлы, ул Х.Такташа, д 28",https://bavlinsky--tat.sudrf.ru/,bavlinsky--tat.sudrf.ru,да,16RS0009
Республика Татарстан,Базарные Матаки,Алькеевский,Алькеевский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422870, Респ Татарстан, с Базарные Матаки, ул Мусы Джалиля, д 21",https://alkeevsky--tat.sudrf.ru/,alkeevsky--tat.sudrf.ru,да,16RS0005
Республика Татарстан,Балтаси,Балтасинский,Балтасинский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422250, Респ Татарстан, пгт Балтаси, ул В.Булатова, зд 24/4",https://baltasinsky--tat.sudrf.ru/,baltasinsky--tat.sudrf.ru,да,16RS0010
Республика Татарстан,Богатые Сабы,Сабинский,Сабинский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422060, Респ Татарстан, пгт Богатые Сабы, ул Тукая, зд 12А",https://sabinsky--tat.sudrf.ru/,sabinsky--tat.sudrf.ru,да,16RS0027
Республика Татарстан,Болгар,Спасский,Спасский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422840, Респ Татарстан, г Болгар, ул Горького, зд 16А",https://spassky--tat.sudrf.ru/,spassky--tat.sudrf.ru,да,16RS0029
Республика Татарстан,Большая Атня,Атнинский,Атнинский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422750, Респ Татарстан, с Большая Атня, ул Б.Зиганшина, д 10",https://atninsky--tat.sudrf.ru/,atninsky--tat.sudrf.ru,да,16RS0008
Республика Татарстан,Большие Кайбицы,Кайбицкий,Кайбицкий районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422330, Респ Татарстан, с Большие Кайбицы, ул Солнечный бульвар, д 14",https://kaibicky--tat.sudrf.ru/,kaibicky--tat.sudrf.ru,да,16RS0015
Республика Татарстан,Бугульма,,Бугульминский городской суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","423230, Респ Татарстан, г Бугульма, ул Владимира Ленина, д 18",https://bugulminsky--tat.sudrf.ru/,bugulminsky--tat.sudrf.ru,да,16RS0037
Республика Татарстан,Буинск,,Буинский городской суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422433, Респ Татарстан, г Буинск, ул Ленина, д 45",https://buinsky--tat.sudrf.ru/,buinsky--tat.sudrf.ru,да,16RS0011
Республика Татарстан,Верхний Услон,Верхнеуслонский,Верхнеуслонский районный суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422570, Респ Татарстан, с Верхний Услон, ул Советская, д 55",https://verhne-uslonsky--tat.sudrf.ru/,verhne-uslonsky--tat.sudrf.ru,да,16RS0012
Республика Татарстан,Елабуга,,Елабужский городской суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","423603, Респ Татарстан, г Елабуга, ул Молодежная, д 18",https://elabuzhsky--tat.sudrf.ru/,elabuzhsky--tat.sudrf.ru,да,16RS0038
Республика Татарстан,Заинск,,Заинский городской суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","423520, Респ Татарстан, г Заинск, пр-кт Нефтяников, д 27А",https://zainsky--tat.sudrf.ru/,zainsky--tat.sudrf.ru,да,16RS0039
Республика Татарстан,Зеленодольск,,Зеленодольский городской суд Республики Татарстан,RS,"Районный, городской, межрайонный суд","422545, Респ Татарстан, г Зеленодольск, ул Сайдашева, д 4",https://zelenodolsky--tat.sudrf.ru/,zelenodolsky--tat.sudrf.ru,да,16RS0040
