РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Санкт-Петербург,,,Судебный участок № 10 Ленинского судебного района Санкт-Петербурга,MS,Мировой суд,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0010
Санкт-Петербург,,,Судебный участок № 13 Василеостровского судебного района Санкт-Петербурга,MS,Мировой суд,"199155, Санкт-Петербург, В.О., пер. Декабристов, д. 8, литера А",https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0014
Санкт-Петербург,,,Судебный участок № 147 Пушкинского судебного района Санкт-Петербурга,MS,Мировой суд,"196607, Санкт-Петербург, г.Пушкин, ул. Магазейная, д. 1 литера А, помещения 4-Н, 5-Н",https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0213
Санкт-Петербург,,,Судебный участок № 148 Невского судебного района Санкт-Петербурга,MS,Мировой суд,,https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0146
Санкт-Петербург,,,Судебный участок № 149 Невского судебного района Санкт-Петербурга,MS,Мировой суд,,https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0147
Санкт-Петербург,,,Судебный участок № 16 Василеостровского судебного района Санкт-Петербурга,MS,Мировой суд,"199155, Санкт-Петербург, В.О., пр. Кима, д.7/19 литера Б",https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0017
Санкт-Петербург,,,Судебный участок № 202 Красносельского судебного района Санкт-Петербурга,MS,Мировой суд,,https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0215
Санкт-Петербург,,,Судебный участок № 203 Приморского судебного района Санкт-Петербурга,MS,Мировой суд,,https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0216
Санкт-Петербург,,,Судебный участок № 204 Пушкинского судебного района Санкт-Петербурга,MS,Мировой суд,,https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0217
Санкт-Петербург,,,Судебный участок № 205 Куйбышевского судебного района Санкт-Петербурга,MS,Мировой суд,"191124, Санкт-Петербург,ул. Красного Текстильщика, д. 9/11, литера А, пом. 14Н, 15Н",https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0205
Санкт-Петербург,,,Судебный участок № 5 Ленинского судебного района Санкт-Петербурга,MS,Мировой суд,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0005
Санкт-Петербург,,,Судебный участок № 6 Ленинского судебного района Санкт-Петербурга,MS,Мировой суд,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0006
Санкт-Петербург,,,Судебный участок № 7 Смольнинского судебного района Санкт-Петербурга,MS,Мировой суд,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0214
Санкт-Петербург,,,Судебный участок № 8 Ленинского судебного района Санкт-Петербурга,MS,Мировой суд,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",https://mirsud.spb.ru/,mirsud.spb.ru,нет,78MS0008
