РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Алтайский край,Алейск,,Алейский городской суд Алтайского края,RS,"Районный, городской, межрайонный суд","658130, Алтайский край, г Алейск, ул Советская, д 98",https://aleysky--alt.sudrf.ru/,aleysky--alt.sudrf.ru,да,22RS0001
Алтайский край,Алтайское,Алтайский,Алтайский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","659650, Алтайский край, с Алтайское, ул Советская, д 180",https://altaisky--alt.sudrf.ru/,altaisky--alt.sudrf.ru,да,22RS0002
Алтайский край,Баево,Баевский,Баевский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","658510, Алтайский край, с Баево, ул Ленина, д 41",https://baevsky--alt.sudrf.ru/,baevsky--alt.sudrf.ru,да,22RS0070
Алтайский край,Барнаул,,Алтайский краевой суд,OS,Областной и равный ему суд,"656043, г Барнаул, пр-кт Ленина, д 25",https://kraevoy--alt.sudrf.ru/,kraevoy--alt.sudrf.ru,да,22OS0000
Алтайский край,Барнаул,Железнодорожный,Железнодорожный районный суд г. Барнаула Алтайского края,RS,"Районный, городской, межрайонный суд","656031, г Барнаул, ул Папанинцев, д 130",https://zheleznodorozhny--alt.sudrf.ru/,zheleznodorozhny--alt.sudrf.ru,да,22RS0066
Алтайский край,Барнаул,Индустриальный,Индустриальный районный суд г. Барнаула Алтайского края,RS,"Районный, городской, межрайонный суд","656006, г Барнаул, ул Балтийская, д 28",https://industrialny--alt.sudrf.ru/,industrialny--alt.sudrf.ru,да,22RS0065
Алтайский край,Барнаул,Ленинский,Ленинский районный суд г. Барнаула Алтайского края,RS,"Районный, городской, межрайонный суд","656055, г Барнаул, ул Георгия Исакова, д 204",https://leninsky--alt.sudrf.ru/,leninsky--alt.sudrf.ru,да,22RS0069
Алтайский край,Барнаул,Октябрьский,Октябрьский районный суд г. Барнаула Алтайского края,RS,"Районный, городской, межрайонный суд","656038, г Барнаул, б-р 9 Января, д 19",https://oktabrsky--alt.sudrf.ru/,oktabrsky--alt.sudrf.ru,да,22RS0067
Алтайский край,Барнаул,Центральный,Центральный районный суд г. Барнаула Алтайского края,RS,"Районный, городской, межрайонный суд","656031, г Барнаул, ул Папанинцев, д 130",https://centralny--alt.sudrf.ru/,centralny--alt.sudrf.ru,да,22RS0068
Алтайский край,Белокуриха,,Белокурихинский городской суд Алтайского края,RS,"Районный, городской, межрайонный суд","659900, Алтайский край, г Белокуриха, ул Братьев Ждановых, д 23",https://belokurihinsky--alt.sudrf.ru/,belokurihinsky--alt.sudrf.ru,да,22RS0007
Алтайский край,Бийск,,Бийский городской суд Алтайского края,RS,"Районный, городской, межрайонный суд","659300, Алтайский край, г Бийск, ул Владимира Ленина, д 149",https://biyskygor--alt.sudrf.ru/,biyskygor--alt.sudrf.ru,да,22RS0013
Алтайский край,Бийск,Бийский,Бийский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","659316, Алтайский край, г Бийск, ул Социалистическая, д 5/2",https://biysky--alt.sudrf.ru/,biysky--alt.sudrf.ru,да,22RS0003
Алтайский край,Благовещенка,Благовещенский,Благовещенский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","658670, Алтайский край, рп Благовещенка, пер Кучеровых, д 65",https://blagovechensky--alt.sudrf.ru/,blagovechensky--alt.sudrf.ru,да,22RS0004
Алтайский край,Бурла,Бурлинский,Бурлинский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","658810, Алтайский край, с Бурла, ул Победы, зд 27",https://burlinsky--alt.sudrf.ru/,burlinsky--alt.sudrf.ru,да,22RS0005
Алтайский край,Быстрый Исток,Быстроистокский,Быстроистокский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","659560, Алтайский край, с Быстрый Исток, ул Ленина, д 43",https://istoksky--alt.sudrf.ru/,istoksky--alt.sudrf.ru,да,22RS0006
Алтайский край,Волчиха,Волчихинский,Волчихинский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","658930, Алтайский край, с Волчиха, ул 1 Мая, зд 80",https://volchihinsky--alt.sudrf.ru/,volchihinsky--alt.sudrf.ru,да,22RS0016
Алтайский край,Гальбштадт,,Районный суд Немецкого национального района Алтайского края,RS,"Районный, городской, межрайонный суд","658870, Алтайский край, с Гальбштадт, ул Тракторная, д 6",https://nemecky--alt.sudrf.ru/,nemecky--alt.sudrf.ru,да,22RS0035
Алтайский край,Горняк,Локтевский,Локтевский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","658422, Алтайский край, г Горняк, ул Миронова, д 130А",https://loktevsky--alt.sudrf.ru/,loktevsky--alt.sudrf.ru,да,22RS0032
Алтайский край,Завьялово,Завьяловский,Завьяловский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","658620, Алтайский край, с Завьялово, ул Школьная, влд 1",https://zavialovsky--alt.sudrf.ru/,zavialovsky--alt.sudrf.ru,да,22RS0019
Алтайский край,Залесово,Залесовский,Залесовский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","659220, Алтайский край, с Залесово, ул Партизанская, д 13",https://zalesovsky--alt.sudrf.ru/,zalesovsky--alt.sudrf.ru,да,22RS0020
Алтайский край,Заринск,,Заринский городской суд Алтайского края,RS,"Районный, городской, межрайонный суд","659100, Алтайский край, г Заринск, ул Металлургов, влд 2",https://zarynsky--alt.sudrf.ru/,zarynsky--alt.sudrf.ru,да,22RS0008
Алтайский край,Заринск,Заринский,Заринский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","659106, Алтайский край, г Заринск, ул Комсомольская, зд 15",https://zarinsky--alt.sudrf.ru/,zarinsky--alt.sudrf.ru,да,22RS0021
Алтайский край,Змеиногорск,,Змеиногорский городской суд Алтайского края,RS,"Районный, городской, межрайонный суд","658481, Алтайский край, г Змеиногорск, ул Ленина, зд 41",https://zmeinogorsky--alt.sudrf.ru/,zmeinogorsky--alt.sudrf.ru,да,22RS0009
Алтайский край,Зональное,Зональный,Зональный районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","659400, Алтайский край, с Зональное, ул Ленина, зд 9",https://zonalny--alt.sudrf.ru/,zonalny--alt.sudrf.ru,да,22RS0022
Алтайский край,Калманка,Калманский,Калманский районный суд Алтайского края,RS,"Районный, городской, межрайонный суд","659040, Алтайский край, с Калманка, ул Ленина, д 14",https://kalmansky--alt.sudrf.ru/,kalmansky--alt.sudrf.ru,да,22RS0023
