РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Республика Башкортостан,Агидель,,Судебный участок № 1 по городу Агидель Республики Башкортостан,MS,Мировой суд,"452920, Респ Башкортостан, г Агидель, ул Академика Курчатова, зд 15",https://68.bkr.msudrf.ru/,68.bkr.msudrf.ru,нет,03MS0068
Республика Башкортостан,Акьяр,,Судебный участок № 1 по Хайбуллинскому району Республики Башкортостан,MS,Мировой суд,"453800, Республика Башкортостан, с. Акьяр, ул. Мусы Гареева, д. 40",https://208.bkr.msudrf.ru/,208.bkr.msudrf.ru,нет,03MS0208
Республика Башкортостан,Акьяр,,Судебный участок № 2 по Хайбуллинскому району Республики Башкортостан,MS,Мировой суд,"453800, Республика Башкортостан, с. Акьяр, ул. Мусы Гареева, д. 40",https://209.bkr.msudrf.ru/,209.bkr.msudrf.ru,нет,03MS0209
Республика Башкортостан,Архангельское,,Судебный участок по Архангельскому району Республики Башкортостан,MS,Мировой суд,"453030, Респ Башкортостан, с Архангельское, ул Советская, зд 55",https://157.bkr.msudrf.ru/,157.bkr.msudrf.ru,нет,03MS0157
Республика Башкортостан,Аскарово,,Судебный участок № 1 по Абзелиловскому району Республики Башкортостан,MS,Мировой суд,"453620, Респ Башкортостан, с Аскарово, ул Ленина, д 31",https://153.bkr.msudrf.ru/,153.bkr.msudrf.ru,нет,03MS0153
Республика Башкортостан,Аскарово,,Судебный участок № 2 по Абзелиловскому району Республики Башкортостан,MS,Мировой суд,"453620, Респ Башкортостан, с Аскарово, ул Ленина, д 31",https://154.bkr.msudrf.ru/,154.bkr.msudrf.ru,нет,03MS0154
Республика Башкортостан,Аскино,,Судебный участок по Аскинскому району Республики Башкортостан,MS,Мировой суд,"452880, Респ Башкортостан, с Аскино, ул М.Горького, д 3",https://158.bkr.msudrf.ru/,158.bkr.msudrf.ru,нет,03MS0158
Республика Башкортостан,Баймак,,Судебный участок № 1 по Баймакскому району и городу Баймаку Республики Башкортостан,MS,Мировой суд,"453630, Респ Башкортостан, г Баймак, ул Салавата Юлаева, д 9",https://70.bkr.msudrf.ru/,70.bkr.msudrf.ru,нет,03MS0070
Республика Башкортостан,Баймак,,Судебный участок № 2 по Баймакскому району и городу Баймаку Республики Башкортостан,MS,Мировой суд,"453630, Респ Башкортостан, г Баймак, ул Салавата Юлаева, д 9",https://71.bkr.msudrf.ru/,71.bkr.msudrf.ru,нет,03MS0071
Республика Башкортостан,Баймак,,Судебный участок № 3 по Баймакскому району и городу Баймаку Республики Башкортостан,MS,Мировой суд,"453630, Респ Башкортостан, г Баймак, ул Салавата Юлаева, д 9",https://72.bkr.msudrf.ru/,72.bkr.msudrf.ru,нет,03MS0072
Республика Башкортостан,Бакалы,,Судебный участок № 1 по Бакалинскому району Республики Башкортостан,MS,Мировой суд,"452650, Респ Башкортостан, с Бакалы, ул Ленина, д 117",https://161.bkr.msudrf.ru/,161.bkr.msudrf.ru,нет,03MS0161
Республика Башкортостан,Бакалы,,Судебный участок № 2 по Бакалинскому району Республики Башкортостан,MS,Мировой суд,"452650, Респ Башкортостан, с Бакалы, ул Ленина, д 117",https://162.bkr.msudrf.ru/,162.bkr.msudrf.ru,нет,03MS0162
Республика Башкортостан,Белебей,,Судебный участок по Белебеевскому району Республики Башкортостан,MS,Мировой суд,"452005, Респ Башкортостан, г Белебей, ул Интернациональная, д 61",https://164.bkr.msudrf.ru/,164.bkr.msudrf.ru,нет,03MS0164
Республика Башкортостан,Белебей,,Судебный участок № 1 по городу Белебею Республики Башкортостан,MS,Мировой суд,"452005, Респ Башкортостан, г Белебей, ул Пионерская, д 44",https://73.bkr.msudrf.ru/,73.bkr.msudrf.ru,нет,03MS0073
Республика Башкортостан,Белебей,,Судебный участок № 2 по городу Белебею Республики Башкортостан,MS,Мировой суд,"452005, Респ Башкортостан, г Белебей, ул Пионерская, д 44",https://74.bkr.msudrf.ru/,74.bkr.msudrf.ru,нет,03MS0074
Республика Башкортостан,Белебей,,Судебный участок № 4 по городу Белебею Республики Башкортостан,MS,Мировой суд,"452005, Респ Башкортостан, г Белебей, ул Пионерская, д 44",https://76.bkr.msudrf.ru/,76.bkr.msudrf.ru,нет,03MS0076
