РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Ростовская область,,,Судебный участок № 4 Семикаракорского судебного района Ростовской области,MS,Мировой суд,"346660, Ростовская обл, сл Большая Мартыновка, ул Ленина, д 88",https://mrtn1.ros.msudrf.ru/,mrtn1.ros.msudrf.ru,нет,61MS0138
Ростовская область,,,Судебный участок № 5 Миллеровского судебного района Ростовской области,MS,Мировой суд,"346200, Ростовская обл, сл Кашары, ул Ленина, д 61",https://kshr1.ros.msudrf.ru/,kshr1.ros.msudrf.ru,нет,61MS0127
Ростовская область,,,Судебный участок № 5 Семикаракорского судебного района Ростовской области,MS,Мировой суд,"346660, Ростовская обл, сл Большая Мартыновка, ул Ленина, д 88",https://mrtn2.ros.msudrf.ru/,mrtn2.ros.msudrf.ru,нет,61MS0139
Ростовская область,,,Судебный участок № 7 Новошахтинского судебного района Ростовской области,MS,Мировой суд,"346580, Ростовская обл, сл Родионово-Несветайская, ул Пушкинская, д 23",https://r-n1.ros.msudrf.ru/,r-n1.ros.msudrf.ru,нет,61MS0181
Ростовская область,Азов,,Судебный участок № 1 Азовского судебного района Ростовской области,MS,Мировой суд,"346780, Ростовская обл, г Азов, ул Макаровского, д 29Б",https://azov1.ros.msudrf.ru/,azov1.ros.msudrf.ru,нет,61MS0058
Ростовская область,Азов,,Судебный участок № 2 Азовского судебного района Ростовской области,MS,Мировой суд,"346780, Ростовская обл, г Азов, ул Макаровского, д 29Б",https://azov2.ros.msudrf.ru/,azov2.ros.msudrf.ru,нет,61MS0059
Ростовская область,Азов,,Судебный участок № 3 Азовского судебного района Ростовской области,MS,Мировой суд,"346780, Ростовская обл, г Азов, ул Макаровского, д 29Б",https://azov3.ros.msudrf.ru/,azov3.ros.msudrf.ru,нет,61MS0060
Ростовская область,Азов,,Судебный участок № 4 Азовского судебного района Ростовской области,MS,Мировой суд,"346780, Ростовская обл, г Азов, ул Макаровского, д 29Б",https://azov4.ros.msudrf.ru/,azov4.ros.msudrf.ru,нет,61MS0061
Ростовская область,Азов,,Судебный участок № 5 Азовского судебного района Ростовской области,MS,Мировой суд,"346780, Ростовская область, г. Азов, ул. Ленинградская/Чехова, д. 36/7",https://azov5.ros.msudrf.ru/,azov5.ros.msudrf.ru,нет,61MS0062
Ростовская область,Азов,,Судебный участок № 6 Азовского судебного района Ростовской области,MS,Мировой суд,"346780, Ростовская область, г. Азов, ул. Ленинградская/Чехова, д. 36/7",https://azov6.ros.msudrf.ru/,azov6.ros.msudrf.ru,нет,61MS0063
Ростовская область,Азов,,Судебный участок № 7 Азовского судебного района Ростовской области,MS,Мировой суд,"346751, Ростовская область, г. Азов, с. Самарское, К. Маркса, д. 35",https://azov7.ros.msudrf.ru/,azov7.ros.msudrf.ru,нет,61MS0064
Ростовская область,Азов,,Судебный участок № 8 Азовского судебного района Ростовской области,MS,Мировой суд,"346780, Ростовская обл, г Азов, ул Макаровского, д 29Б",https://azov8.ros.msudrf.ru/,azov8.ros.msudrf.ru,нет,61MS0065
Ростовская область,Аксай,,Судебный участок № 1 Аксайского судебного района Ростовской области,MS,Мировой суд,"346720, Ростовская обл, г Аксай, пр-кт Ленина, зд 12",https://aksaisky1.ros.msudrf.ru/,aksaisky1.ros.msudrf.ru,нет,61MS0066
Ростовская область,Аксай,,Судебный участок № 2 Аксайского судебного района Ростовской области,MS,Мировой суд,"346720, Ростовская обл, г Аксай, пр-кт Ленина, зд 12",https://aksaisky2.ros.msudrf.ru/,aksaisky2.ros.msudrf.ru,нет,61MS0067
Ростовская область,Аксай,,Судебный участок № 3 Аксайского судебного района Ростовской области,MS,Мировой суд,"346720, Ростовская обл, г Аксай, пр-кт Ленина, зд 12",https://aksaisky3.ros.msudrf.ru/,aksaisky3.ros.msudrf.ru,нет,61MS0068
Ростовская область,Аксай,,Судебный участок № 4 Аксайского судебного района Ростовской области,MS,Мировой суд,"346720, Ростовская обл, г Аксай, пр-кт Ленина, зд 12",https://aksaisky4.ros.msudrf.ru/,aksaisky4.ros.msudrf.ru,нет,61MS0069
Ростовская область,Аксай,,Судебный участок № 5 Аксайского судебного района Ростовской области,MS,Мировой суд,"346720, Ростовская обл, г Аксай, пр-кт Ленина, зд 12",https://aksaisky5.ros.msudrf.ru/,aksaisky5.ros.msudrf.ru,нет,61MS0233
Ростовская область,Багаевская,,Судебный участок № 1 Багаевского судебного района Ростовской области,MS,Мировой суд,"346610, Ростовская обл, ст-ца Багаевская, ул Красноармейская, зд 9",https://bagaevsky1.ros.msudrf.ru/,bagaevsky1.ros.msudrf.ru,нет,61MS0075
Ростовская область,Багаевская,,Судебный участок № 2 Багаевского судебного района Ростовской области,MS,Мировой суд,"346610, Ростовская обл, ст-ца Багаевская, ул Красноармейская, зд 9",https://bagaevsky2.ros.msudrf.ru/,bagaevsky2.ros.msudrf.ru,нет,61MS0076
Ростовская область,Батайск,,Судебный участок № 1 Батайского судебного района Ростовской области,MS,Мировой суд,"346892, Ростовская обл, г Батайск, ул Куйбышева, д 186",https://bataisk1.ros.msudrf.ru/,bataisk1.ros.msudrf.ru,нет,61MS0070
Ростовская область,Батайск,,Судебный участок № 2 Батайского судебного района Ростовской области,MS,Мировой суд,"346892, Ростовская обл, г Батайск, ул Куйбышева, д 186",https://bataisk2.ros.msudrf.ru/,bataisk2.ros.msudrf.ru,нет,61MS0071
Ростовская область,Батайск,,Судебный участок № 3 Батайского судебного района Ростовской области,MS,Мировой суд,"346892, Ростовская обл, г Батайск, ул Куйбышева, д 186",https://bataisk3.ros.msudrf.ru/,bataisk3.ros.msudrf.ru,нет,61MS0072
Ростовская область,Батайск,,Судебный участок № 4 Батайского судебного района Ростовской области,MS,Мировой суд,"346892, Ростовская обл, г Батайск, ул Куйбышева, д 186",https://bataisk4.ros.msudrf.ru/,bataisk4.ros.msudrf.ru,нет,61MS0073
