РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Забайкальский край,Газимурский Завод,Газимуро-Заводский,Газимуро-Заводский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","673630, Забайкальский край, с Газимурский Завод, ул Журавлева, д 32В",https://gazzav--cht.sudrf.ru/,gazzav--cht.sudrf.ru,да,75RS0009
Забайкальский край,Дульдурга,Дульдургинский,Дульдургинский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","687200, Забайкальский край, с Дульдурга, ул 8 Марта, зд 22",https://duldurginsky--abao.sudrf.ru/,duldurginsky--abao.sudrf.ru,да,80RS0003
Забайкальский край,Забайкальск,Забайкальский,Забайкальский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","674650, Забайкальский край, пгт Забайкальск, ул Комсомольская, зд 24А",https://zabaykalsk--cht.sudrf.ru/,zabaykalsk--cht.sudrf.ru,да,75RS0010
Забайкальский край,Калга,Калганский,Калганский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","674340, Забайкальский край, с Калга, ул 60 лет Октября, д 9",https://kalga--cht.sudrf.ru/,kalga--cht.sudrf.ru,да,75RS0012
Забайкальский край,Карымское,Карымский,Карымский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","673300, Забайкальский край, пгт Карымское, ул Ленинградская, зд 77",https://karymsk--cht.sudrf.ru/,karymsk--cht.sudrf.ru,да,75RS0013
Забайкальский край,Краснокаменск,,Краснокаменский городской суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","674674, Забайкальский край, г Краснокаменск, мкр 5-й, стр 507",https://krasnokam--cht.sudrf.ru/,krasnokam--cht.sudrf.ru,да,75RS0015
Забайкальский край,Красный Чикой,Красночикойский,Красночикойский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","673060, Забайкальский край, с Красный Чикой, ул Партизанская, зд 25",https://chikoy--cht.sudrf.ru/,chikoy--cht.sudrf.ru,да,75RS0014
Забайкальский край,Кыра,Кыринский,Кыринский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","674250, Забайкальский край, с Кыра, ул Ленина, д 32",https://kira--cht.sudrf.ru/,kira--cht.sudrf.ru,да,75RS0032
Забайкальский край,Могойтуй,Могойтуйский,Могойтуйский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","687420, Забайкальский край, пгт Могойтуй, ул Первомайская, д 33Б",https://mogoytuysky--abao.sudrf.ru/,mogoytuysky--abao.sudrf.ru,да,80RS0002
Забайкальский край,Могоча,Могочинский,Могочинский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","673732, Забайкальский край, г Могоча, ул Комсомольская, д 34",https://mogocha--cht.sudrf.ru/,mogocha--cht.sudrf.ru,да,75RS0016
