РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Алтайский край,Барнаул,,Судебный участок № 4 Октябрьского района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://okt4.alt.msudrf.ru/,okt4.alt.msudrf.ru,нет,22MS0018
Алтайский край,Барнаул,,Судебный участок № 4 Центрального района г. Барнаула Алтайского края,мировой,Мировой суд,"656031, г Барнаул, ул Силикатная, д 5",https://centr4.alt.msudrf.ru/,centr4.alt.msudrf.ru,нет,22MS0004
Алтайский край,Барнаул,,Судебный участок № 5 Железнодорожного района г. Барнаула Алтайского края,мировой,Мировой суд,"656031, г Барнаул, ул Силикатная, д 5",https://zd5.alt.msudrf.ru/,zd5.alt.msudrf.ru,нет,22MS0012
Алтайский край,Барнаул,,Судебный участок № 5 Индустриального района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://ind5.alt.msudrf.ru/,ind5.alt.msudrf.ru,нет,22MS0133
Алтайский край,Барнаул,,Судебный участок № 5 Ленинского района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://len5.alt.msudrf.ru/,len5.alt.msudrf.ru,нет,22MS0141
Алтайский край,Барнаул,,Судебный участок № 5 Октябрьского района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://okt5.alt.msudrf.ru/,okt5.alt.msudrf.ru,нет,22MS0019
Алтайский край,Барнаул,,Судебный участок № 5 Центрального района г. Барнаула Алтайского края,мировой,Мировой суд,"656031, г Барнаул, ул Силикатная, д 5",https://centr5.alt.msudrf.ru/,centr5.alt.msudrf.ru,нет,22MS0005
Алтайский край,Барнаул,,Судебный участок № 6 Железнодорожного района г. Барнаула Алтайского края,мировой,Мировой суд,"656031, г Барнаул, ул Силикатная, д 5",https://zd6.alt.msudrf.ru/,zd6.alt.msudrf.ru,нет,22MS0013
Алтайский край,Барнаул,,Судебный участок № 6 Индустриального района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://ind6.alt.msudrf.ru/,ind6.alt.msudrf.ru,нет,22MS0134
Алтайский край,Барнаул,,Судебный участок № 6 Ленинского района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://len6.alt.msudrf.ru/,len6.alt.msudrf.ru,нет,22MS0142
Алтайский край,Барнаул,,Судебный участок № 6 Октябрьского района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://okt6.alt.msudrf.ru/,okt6.alt.msudrf.ru,нет,22MS0020
Алтайский край,Барнаул,,Судебный участок № 6 Центрального района г. Барнаула Алтайского края,мировой,Мировой суд,"656031, г Барнаул, ул Силикатная, д 5",https://centr6.alt.msudrf.ru/,centr6.alt.msudrf.ru,нет,22MS0006
Алтайский край,Барнаул,,Судебный участок № 7 Железнодорожного района г. Барнаула Алтайского края,мировой,Мировой суд,"656031, г Барнаул, ул Силикатная, д 5",https://zd7.alt.msudrf.ru/,zd7.alt.msudrf.ru,нет,22MS0014
Алтайский край,Барнаул,,Судебный участок № 7 Индустриального района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://ind7.alt.msudrf.ru/,ind7.alt.msudrf.ru,нет,22MS0135
Алтайский край,Барнаул,,Судебный участок № 7 Ленинского района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://len7.alt.msudrf.ru/,len7.alt.msudrf.ru,нет,22MS0143
Алтайский край,Барнаул,,Судебный участок № 7 Центрального района г. Барнаула Алтайского края,мировой,Мировой суд,"656031, г Барнаул, ул Силикатная, д 5",https://centr7.alt.msudrf.ru/,centr7.alt.msudrf.ru,нет,22MS0007
Алтайский край,Барнаул,,Судебный участок № 8 Индустриального района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://ind8.alt.msudrf.ru/,ind8.alt.msudrf.ru,нет,22MS0136
Алтайский край,Барнаул,,Судебный участок № 8 Центрального района г. Барнаула Алтайского края,мировой,Мировой суд,"656031, г Барнаул, ул Силикатная, д 5",https://centr8.alt.msudrf.ru/,centr8.alt.msudrf.ru,нет,22MS0145
Алтайский край,Барнаул,,Судебный участок № 9 Индустриального района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://ind9.alt.msudrf.ru/,ind9.alt.msudrf.ru,нет,22MS0146
Алтайский край,Белокуриха,,Судебный участок г. Белокуриха Алтайского края,мировой,Мировой суд,"659900, Алтайский край, г Белокуриха, ул Братьев Ждановых, д 23",https://blk.alt.msudrf.ru/,blk.alt.msudrf.ru,нет,22MS0049
Алтайский край,Бийск,,Судебный участок № 1 Бийского района Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biyskrn1.alt.msudrf.ru/,biyskrn1.alt.msudrf.ru,нет,22MS0035
Алтайский край,Бийск,,Судебный участок № 1 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk1.alt.msudrf.ru/,biysk1.alt.msudrf.ru,нет,22MS0029
Алтайский край,Бийск,,Судебный участок № 10 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk10.alt.msudrf.ru/,biysk10.alt.msudrf.ru,нет,22MS0033
Алтайский край,Бийск,,Судебный участок № 11 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk11.alt.msudrf.ru/,biysk11.alt.msudrf.ru,нет,22MS0034
Алтайский край,Бийск,,Судебный участок № 12 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk12.alt.msudrf.ru/,biysk12.alt.msudrf.ru,нет,22MS0148
Алтайский край,Бийск,,Судебный участок № 2 Бийского района Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biyskrn2.alt.msudrf.ru/,biyskrn2.alt.msudrf.ru,нет,22MS0036
Алтайский край,Бийск,,Судебный участок № 2 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk2.alt.msudrf.ru/,biysk2.alt.msudrf.ru,нет,22MS0030
Алтайский край,Бийск,,Судебный участок № 3 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk3.alt.msudrf.ru/,biysk3.alt.msudrf.ru,нет,22MS0031
Алтайский край,Бийск,,Судебный участок № 4 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk4.alt.msudrf.ru/,biysk4.alt.msudrf.ru,нет,22MS0032
Алтайский край,Бийск,,Судебный участок № 5 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk5.alt.msudrf.ru/,biysk5.alt.msudrf.ru,нет,22MS0044
Алтайский край,Бийск,,Судебный участок № 6 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk6.alt.msudrf.ru/,biysk6.alt.msudrf.ru,нет,22MS0045
Алтайский край,Бийск,,Судебный участок № 7 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk7.alt.msudrf.ru/,biysk7.alt.msudrf.ru,нет,22MS0046
Алтайский край,Бийск,,Судебный участок № 8 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk8.alt.msudrf.ru/,biysk8.alt.msudrf.ru,нет,22MS0047
Алтайский край,Бийск,,Судебный участок № 9 г. Бийска Алтайского края,мировой,Мировой суд,"659300, Алтайский край, г Бийск, ул Валериана Куйбышева, д 106",https://biysk9.alt.msudrf.ru/,biysk9.alt.msudrf.ru,нет,22MS0048
Алтайский край,Благовещенка,,Судебный участок № 1 Благовещенского района Алтайского края,мировой,Мировой суд,"658670, Алтайский край, рп Благовещенка, пер Кучеровых, д 79",https://blag1.alt.msudrf.ru/,blag1.alt.msudrf.ru,нет,22MS0050
Алтайский край,Благовещенка,,Судебный участок № 2 Благовещенского района Алтайского края,мировой,Мировой суд,"658670, Алтайский край, рп Благовещенка, пер Кучеровых, д 79",https://blag2.alt.msudrf.ru/,blag2.alt.msudrf.ru,нет,22MS0051
Алтайский край,Бурла,,Судебный участок Бурлинского района Алтайского края,мировой,Мировой суд,"658810, Алтайский край, с Бурла, ул Ленина, д 9",https://brlrn.alt.msudrf.ru/,brlrn.alt.msudrf.ru,нет,22MS0052
Алтайский край,Быстрый Исток,,Судебный участок Быстроистокского района Алтайского края,мировой,Мировой суд,"659560, Алтайский край, с Быстрый Исток, ул Ленина, д 48",https://bistrn.alt.msudrf.ru/,bistrn.alt.msudrf.ru,нет,22MS0053
Алтайский край,Верх-Суетка,,Судебный участок Суетского района Алтайского края,мировой,Мировой суд,"658690, Алтайский край, с Верх-Суетка, ул Ленина, д 99",https://suetrn.alt.msudrf.ru/,suetrn.alt.msudrf.ru,нет,22MS0109
Алтайский край,Волчиха,,Судебный участок Волчихинского района Алтайского края,мировой,Мировой суд,"658930, Алтайский край, с Волчиха, ул Ленина, д 89",https://volchrn.alt.msudrf.ru/,volchrn.alt.msudrf.ru,нет,22MS0054
Алтайский край,Гальбштадт,,Судебный участок Немецкого национального района Алтайского края,мировой,Мировой суд,"658870, Алтайский край, с Гальбштадт, ул Клубная, влд 6",https://nemrn.alt.msudrf.ru/,nemrn.alt.msudrf.ru,нет,22MS0084
Алтайский край,Горняк,,Судебный участок № 1 Локтевского района Алтайского края,мировой,Мировой суд,"658420, Алтайский край, г Горняк, ул Маяковского, влд 132А",https://lokt1.alt.msudrf.ru/,lokt1.alt.msudrf.ru,нет,22MS0078
Алтайский край,Горняк,,Судебный участок № 2 Локтевского района Алтайского края,мировой,Мировой суд,"658420, Алтайский край, г Горняк, ул Маяковского, влд 132А",https://lokt2.alt.msudrf.ru/,lokt2.alt.msudrf.ru,нет,22MS0079
Алтайский край,Ельцовка,,Судебный участок Ельцовского района Алтайского края,мировой,Мировой суд,"659470, Алтайский край, с Ельцовка, ул им Шацкого, д 17",https://elrn.alt.msudrf.ru/,elrn.alt.msudrf.ru,нет,22MS0056
